Name,Mission Components,Mission Status,Location,Launch Time,Company,Status,Price,Liftoff Thrust kN,Payload to LEO kg,Payload to GTO kg,Stages,Strap-ons,Rocket Height m,Fairing Diameter m,Fairing Height m,Orbit,Payloads,Total Mass kg,year,Country,month,Region
Falcon 9 Block 5,Starlink Group 11-6,Success,"SLC-4E, Vandenberg SFB, California, USA",2025-01-24 14:07:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,23.0,,2025,USA,January,California
Long March 3B/E,TJSW-14,Success,"LC-2, Xichang Satellite Launch Center, China",2025-01-23 15:32:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,,2025,China,January,Xichang Satellite Launch Center
Long March 6A,G60 Polar Group 06,Success,"LC-9A, Taiyuan Satellite Launch Center, China",2025-01-23 05:15:00+00:00,CASC,Active,,7230.0,5000.0,,2.0,4.0,50.0,4.2,5.7,Polar Orbit,18.0,,2025,China,January,Taiyuan Satellite Launch Center
Falcon 9 Block 5,Starlink Group 11-8,Success,"SLC-4E, Vandenberg SFB, California, USA",2025-01-21 15:45:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,27.0,,2025,USA,January,California
Falcon 9 Block 5,Starlink Group 13-1,Success,"LC-39A, Kennedy Space Center, Florida, USA",2025-01-21 05:24:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2025,USA,January,Florida
Ceres 1,On Your Shoulders,Success,"Site 95A, Jiuquan Satellite Launch Center, China",2025-01-20 10:11:00+00:00,Galactic Energy,Active,4.38,588.0,400.0,0.0,4.0,0.0,19.0,1.4,2.5,Sun-Synchronous Orbit,5.0,,2025,China,January,Jiuquan Satellite Launch Center
Long March 2D,PRSC-EO1,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2025-01-17 04:07:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,3.0,,2025,China,January,Jiuquan Satellite Launch Center
Starship-Super Heavy Block 1/2,Starship Flight 7,Failure,"Orbital Launch Pad A, Starbase, Texas, USA",2025-01-16 22:37:00+00:00,SpaceX,Active,,74400.0,,,2.0,,123.1,9.0,,Suborbital,10.0,,2025,USA,January,Texas
New Glenn,Blue Ring Pathfinder (Maiden Flight),Success,"LC-36, Cape Canaveral SFS, Florida, USA",2025-01-16 07:03:00+00:00,Blue Origin,Active,,17150.0,45000.0,13000.0,2.0,0.0,98.0,7.0,21.9,Medium Earth Orbit,1.0,,2025,USA,January,Florida
Falcon 9 Block 5,Blue Ghost Mission 1 & HAKUTO-R M2 “Resilience”,Success,"LC-39A, Kennedy Space Center, Florida, USA",2025-01-15 06:11:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Trans Lunar Injection,2.0,2517.0,2025,USA,January,Florida
Falcon 9 Block 5,Transporter 12,Success,"SLC-4E, Vandenberg SFB, California, USA",2025-01-14 19:09:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Sun-Synchronous Orbit,131.0,,2025,USA,January,California
Falcon 9 Block 5,Starlink Group 12-4,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2025-01-13 16:47:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2025,USA,January,Florida
Jielong 3,10 x CentiSpace-1,Success,China,2025-01-13 03:00:00+00:00,Chinarocket,Active,,,1500.0,,4.0,0.0,31.0,3.35,,Low Earth Orbit,10.0,,2025,China,January,
Falcon 9 Block 5,Starlink Group 12-12,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2025-01-10 19:11:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,21.0,,2025,USA,January,Florida
Falcon 9 Block 5,NROL-153,Success,"SLC-4E, Vandenberg SFB, California, USA",2025-01-10 03:53:00+00:00,SpaceX,Active,69.75,7607.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,,,2025,USA,January,California
